Modelo;Edificio;Variables;pred;n_obs_antes;CVRMSE;R2;RMSE
GRU;B;1;120T;2;8.382747037536124;0.9767035183976924;0.4978250253057736
GRU;B;2;120T;2;36.14203981547479;0.5669451228217914;2.14636226110306
GRU;B;1;120T;4;7.806872633087086;0.979621006624064;0.4648444567767132
GRU;B;2;120T;4;52.35976226388518;0.0833070906566886;3.1176562485929886
GRU;C;1;60T;1;49.19779221283322;0.8673830309706586;0.884739609315461
GRU;C;2;60T;1;180.8444086706673;-0.7919176272517825;3.252182756128553
GRU;C;1;60T;2;28.868272804297145;0.9543747758391896;0.5191590744937887
GRU;C;2;60T;2;130.87763913846956;0.0622343635987131;2.353667448956138
GRU;C;1;60T;4;29.94130651826353;0.9509530226225898;0.5387070061680111
GRU;C;2;60T;4;73.11385789944732;0.7075375227188418;1.3154719041528629
GRU;C;1;120T;1;38.80000916815284;0.778958961681469;1.0748797467396922
GRU;C;2;120T;1;56.017076635036666;0.5392661333589477;1.5518455391497177
GRU;C;1;120T;2;29.247677427411933;0.8746816223371652;0.8100545025707899
GRU;C;2;120T;2;115.49584030687146;-0.9541805276144412;3.1988155538494976
GRU;C;1;120T;4;32.36007905155356;0.8469679661311149;0.896721957426402
GRU;C;2;120T;4;99.09017462584109;-0.4349091007559884;2.745862740651813
BiLSTM;A;1;60T;1;9.537057521074754;0.9287007160802688;0.2829543815892807
BiLSTM;A;2;60T;1;41.44788661184396;-0.3466698793829701;1.2297148358936705
BiLSTM;A;1;60T;2;12.079512830111105;0.8857241959397439;0.3582955252038869
BiLSTM;A;2;60T;2;62.90719258205477;-2.099246038639118;1.8659167734897848
BiLSTM;A;1;60T;4;12.47966554613228;0.8781825326450816;0.3699124567511775
BiLSTM;A;2;60T;4;58.911078012852414;-1.714548547551444;1.746195963108027
BiLSTM;A;1;120T;1;10.077463167576257;0.8870526155904814;0.5919868676405167
