0;1;2;3;4;5;6;7;8;9;10
31.0;24.5;57.2;561.9;1.1;356.5;0.0;15.5;1.0;0.0;0.0
31.3;24.4;57.0;338.3;0.7;96.4;0.0;15.3;1.0;0.0;0.0
31.4;24.4;57.0;332.7;0.9;29.9;0.0;15.4;1.0;0.0;0.0
31.7;24.9;55.1;448.6;1.3;38.6;0.0;15.3;1.0;0.0;0.0
31.7;25.5;53.2;523.3;1.2;41.2;0.0;15.3;1.0;0.0;0.0
25.7;14.8;57.3;595.0;1.0;281.0;0.0;6.4;1.0;0.0;0.0
24.2;15.3;55.2;592.6;0.6;259.0;0.0;6.4;1.0;0.0;0.0
23.5;15.6;54.1;551.8;0.6;37.7;0.0;6.3;1.0;0.0;0.0
23.5;15.8;53.0;489.9;1.2;16.9;0.0;6.2;1.0;0.0;0.0
23.4;15.7;53.3;496.9;0.7;18.0;0.0;6.3;1.0;0.0;0.0
22.5;15.7;53.4;374.8;1.3;22.3;0.0;6.2;1.0;0.0;0.0
22.3;15.7;52.6;490.0;1.5;38.1;0.0;6.0;1.0;0.0;0.0
18.2;10.4;57.3;347.9;1.0;257.5;0.1;2.3;1.0;0.0;0.0
18.8;10.4;57.6;391.5;0.7;255.0;0.0;2.4;1.0;0.0;0.0
20.1;11.4;54.7;515.2;0.7;236.5;0.0;2.6;1.0;0.0;0.0
20.2;10.8;54.1;356.7;1.0;225.7;0.0;1.9;1.0;0.0;0.0
20.3;11.2;54.7;468.1;0.7;261.2;0.0;2.4;1.0;0.0;0.0
20.3;11.6;51.6;447.1;0.7;230.6;0.0;2.0;1.0;0.0;0.0
20.2;11.3;51.4;392.9;0.9;242.0;0.0;1.6;1.0;0.0;0.0
26.7;21.7;31.4;368.8;1.8;303.6;0.0;4.1;0.0;1.0;0.0
26.7;21.8;31.4;336.1;1.7;316.3;0.0;4.1;0.0;1.0;0.0
26.7;21.8;31.6;295.7;1.2;329.0;0.0;4.2;0.0;1.0;0.0
26.7;21.9;31.0;258.0;1.3;304.2;0.0;4.0;0.0;1.0;0.0
27.7;21.8;31.4;222.7;0.9;322.3;0.0;4.1;0.0;1.0;0.0
28.2;21.8;31.7;189.9;1.0;323.3;0.0;4.3;0.0;1.0;0.0
